<unk>	sil
grupowało	g r u p o v a w o
grupowe	g r u p o v e
grupowych	g r u p o v I x
grupy	g r u p I
grupą	g r u p o m
grupą	g r u p on
grupę	g r u p e
grupę	g r u p en
gruszek	g r u S e k
gruszka	g r u S k a
gruszki	g r u S k i
gruszką	g r u S k o m
gruszką	g r u S k on
gruszyczki	g r u S I tS k i
gruszą	g r u S o m
gruszą	g r u S on
gruzach	g r u z a x
gruzami	g r u z a m i
gruzinów	g r u zi i n u f
gruzinów	g r u zi i n u v
gruzja	g r u z j a
gruzji	g r u z i
gruzji	g r u z j i
gruzję	g r u z j e
gruzję	g r u z j en
gruzy	g r u z I
gruzów	g r u z u f
gruzów	g r u z u v
gruźlica	g r u zi l i ts a
gruźlicę	g r u zi l i ts e
gruźlicę	g r u zi l i ts en
gry	g r I
gryczanej	g r I tS a n e j
grydzewski	g r I dz e f s k i
grydzewski	g r I dz e v s k i
gryfa	g r I f a
grymas	g r I m a s
grymasem	g r I m a s e m
grypa	g r I p a
grypie	g r I p j e
grypowego	g r I p o v e g o
grypowym	g r I p o v I m
grypy	g r I p I
grypą	g r I p o m
grypą	g r I p on
grypę	g r I p e
grypę	g r I p en
grysem	g r I s e m
grywa	g r I v a
gryzonie	g r I z o ni e
gryzonie	g r I z o ni j e
gryzący	g r I z o n ts I
gryzący	g r I z on ts I
gryzł	g r I s
gryzł	g r I z
gryzł	g r I z w
grzało	g Z a w o
grzbiecie	g Z b j e tsi e
grzbiecie	k S b j e tsi e
grzbiet	g Z b j e t
grzbiet	k S b j e t
grzbietem	g Z b j e t e m
grzbietem	k S b j e t e m
grzbietu	g Z b j e t u
grzbietu	k S b j e t u
grze	g Z e
grzebali	g Z e b a l i
grzebaliście	g Z e b a l i si tsi e
grzebalnych	g Z e b a l n I x
grzebania	g Z e b a ni a
grzebania	g Z e b a ni j a
grzebać	g Z e b a tsi
grzebał	g Z e b a w
grzebieni	g Z e b j e ni i
grzebień	g Z e b j e ni
grzebią	g Z e b j o m
grzebią	g Z e b j on
grzebiących	g Z e b j o n ts I x
grzebiących	g Z e b j on ts I x
grzech	g Z e x
grzechoczących	g Z e x o tS o n ts I x
grzechoczących	g Z e x o tS on ts I x
grzechotką	g Z e x o t k o m
grzechotką	g Z e x o t k on
grzechu	g Z e x u
grzechów	g Z e x u f
grzechów	g Z e x u v
grzeczni	g Z e tS ni i
grzecznie	g Z e tS ni e
grzeczniejszych	g Z e tS ni e j S I x
grzeczności	g Z e tS n o si tsi i
grzeczny	g Z e tS n I
grzegorz	g Z e g o S
grzegorz	g Z e g o Z
grzegorza	g Z e g o Z a
grzegorzewskiego	g Z e g o Z e f s k j e g o
grzegorzewskiego	g Z e g o Z e v s k j e g o
grzeje	g Z e j e
grzeszników	g Z e S ni i k u f
grzeszników	g Z e S ni i k u v
grzeszną	g Z e S n o m
grzeszną	g Z e S n on
grzeszą	g Z e S o m
grzeszą	g Z e S on
grzewczymi	g Z e f tS I m i
grzewczymi	g Z e v tS I m i
grzimek	g Z i m e k
grzmiał	g Z m j a w
grzmiał	k S m j a w
grzmot	g Z m o t
grzmot	k S m o t
grzyb	g Z I b
grzyb	g Z I p
grzybach	g Z I b a x
grzybicą	g Z I b i ts o m
grzybicą	g Z I b i ts on
grzybowopieczarkowy	g Z I b o v o p j e tS a r k o v I
grzyby	g Z I b I
grzymalitów	g Z I m a l i t u f
grzymalitów	g Z I m a l i t u v
grzywna	g Z I v n a
grzywny	g Z I v n I
grzywnę	g Z I v n e
grzywnę	g Z I v n en
grzywy	g Z I v I
grządek	g Z o n d e k
grządek	g Z on d e k
grząskie	g Z o n s k j e
grząskie	g Z on s k j e
grą	g r o m
grą	g r on
grę	g r e
grę	g r en
guantum	g u a n t u m
gubernator	g u b e r n a t o r
gubernatora	g u b e r n a t o r a
gubernatorem	g u b e r n a t o r e m
gubi	g u b i
gubienie	g u b j e ni e
gubienie	g u b j e ni j e
gubina	g u b i n a
gubił	g u b i w
guc	g u ts
gudzowaty	g u dz o v a t I
guido	g u i d o
guido	g u j i d o
gujany	g u j a n I
gulaszu	g u l a S u
guldenów	g u l d e n u f
guldenów	g u l d e n u v
guma	g u m a
gumach	g u m a x
gumeczka	g u m e tS k a
gumie	g u m j e
gumienieckiego	g u m j e ni e ts k j e g o
gumkę	g u m k e
gumkę	g u m k en
gumowa	g u m o v a
gumowo	g u m o v o
gumową	g u m o v o m
gumową	g u m o v on
gumy	g u m I
gumą	g u m o m
gumą	g u m on
gumę	g u m e
gumę	g u m en
gunnar	g u n n a r
guru	g u r u
gus	g u s
gusanem	g u s a n e m
gust	g u s t
gustami	g u s t a m i
gustu	g u s t u
gusty	g u s t I
gustów	g u s t u f
gustów	g u s t u v
gutenberga	g u t e n b e r g a
gutkiewicz	g u t k j e v i tS
gutowska	g u t o f s k a
gutowska	g u t o v s k a
guziczków	g u zi i tS k u f
guziczków	g u zi i tS k u v
guzie	g u zi e
guzik	g u zi i k
guzikami	g u zi i k a m i
guziki	g u zi i k i
guzików	g u zi i k u f
guzików	g u zi i k u v
gułag	g u w a g
gułag	g u w a k
gułagów	g u w a g u f
gułagów	g u w a g u v
gwar	g v a r
gwarancja	g v a r a n ts j a
gwarancjami	g v a r a n ts j a m i
gwarancje	g v a r a n ts j e
gwarancji	g v a r a n ts i
gwarancji	g v a r a n ts j i
gwarancją	g v a r a n ts j o m
gwarancją	g v a r a n ts j on
gwarancję	g v a r a n ts j e
gwarancję	g v a r a n ts j en
gwarancyjnej	g v a r a n ts I j n e j
gwarancyjnemu	g v a r a n ts I j n e m u
gwarancyjny	g v a r a n ts I j n I
gwarancyjnym	g v a r a n ts I j n I m
gwarancyjną	g v a r a n ts I j n o m
gwarancyjną	g v a r a n ts I j n on
gwarantowane	g v a r a n t o v a n e
gwarantowanie	g v a r a n t o v a ni e
gwarantowanie	g v a r a n t o v a ni j e
gwarantowała	g v a r a n t o v a w a
gwarantuje	g v a r a n t u j e
gwarantujemy	g v a r a n t u j e m I
gwarantują	g v a r a n t u j o m
gwarantują	g v a r a n t u j on
gwarantujące	g v a r a n t u j o n ts e
gwarantujące	g v a r a n t u j on ts e
gwarantującymi	g v a r a n t u j o n ts I m i
gwarantującymi	g v a r a n t u j on ts I m i
gwardia	g v a r d j a
gwardii	g v a r d i
gwardii	g v a r d j i
gwardja	g v a r d j a
gwardziści	g v a r dzi i si tsi i
gwarno	g v a r n o
gwarny	g v a r n I
gwarnym	g v a r n I m
gwarom	g v a r o m
gwaru	g v a r u
gwałci	g v a w tsi i
gwałciciel	g v a w tsi i tsi e l
gwałcić	g v a w tsi i tsi
gwałcone	g v a w ts o n e
gwałcąc	g v a w ts o n ts
gwałcąc	g v a w ts on ts
gwałt	g v a w t
gwałtem	g v a w t e m
gwałtowna	g v a w t o v n a
gwałtowne	g v a w t o v n e
gwałtownego	g v a w t o v n e g o
gwałtownie	g v a w t o v ni e
gwałtowniejsze	g v a w t o v ni e j S e
gwałtowny	g v a w t o v n I
gwałtownych	g v a w t o v n I x
gwałtownym	g v a w t o v n I m
gwałtowną	g v a w t o v n o m
gwałtowną	g v a w t o v n on
gwałtu	g v a w t u
gwałtów	g v a w t u f
gwałtów	g v a w t u v
gwiazd	g v j a z d
gwiazd	g v j a z t
gwiazda	g v j a z d a
gwiazdach	g v j a z d a x
gwiazdami	g v j a z d a m i
gwiazdeczki	g v j a z d e tS k i
gwiazdek	g v j a z d e k
gwiazdy	g v j a z d I
gwiazdą	g v j a z d o m
gwiazdą	g v j a z d on
gwiazdę	g v j a z d e
gwiazdę	g v j a z d en
gwiaździsty	g v j a zi dzi i s t I
gwiezdne	g v j e z d n e
gwinei	g v i n e i
gwinei	g v i n e j i
gwinejskiej	g v i n e j s k j e j
gwizd	g v i z d
gwizd	g v i z t
gwizdała	g v i z d a w a
gwizdałam	g v i z d a w a m
gwizdem	g v i z d e m
gwizdkiem	g v i s t k j e m
gwizdkiem	g v i z d k j e m
gwizdkiem	g v i z t k j e m
gwiżdże	g v i Z dZ e
gwoli	g v o l i
gwoździ	g v o zi dzi i
gwoździach	g v o zi dzi a x
gwoździami	g v o zi dzi a m i
gwoździe	g v o zi dzi e
gwożdżenie	g v o Z dZ e ni e
gwożdżenie	g v o Z dZ e ni j e
gwóźdź	g v u zi dzi
gwóźdź	g v u zi tsi
gwóźdźiółka	g v u zi dzi j u w k a
gzyms	g z I m s
gór	g u r
góra	g u r a
górach	g u r a x
góralem	g u r a l e m
górali	g u r a l i
góralom	g u r a l o m
góralskiej	g u r a l s k j e j
góralskim	g u r a l s k i m
góralszczyzny	g u r a l S tS I z n I
górami	g u r a m i
górne	g u r n e
górnego	g u r n e g o
górnej	g u r n e j
górnictwa	g u r ni i ts t f a
górnictwem	g u r ni i ts t f e m
górnicy	g u r ni i ts I
górniczego	g u r ni i tS e g o
górniczo	g u r ni i tS o
górniczy	g u r ni i tS I
górniczych	g u r ni i tS I x
górniczą	g u r ni i tS o m
górniczą	g u r ni i tS on
górnik	g u r ni i k
górnika	g u r ni i k a
górnikiem	g u r ni i k j e m
górnołużyckim	g u r n o w u Z I ts k i m
górny	g u r n I
górnych	g u r n I x
górnym	g u r n I m
górną	g u r n o m
górną	g u r n on
górska	g u r s k a
górski	g u r s k i
górskich	g u r s k i x
górskie	g u r s k j e
górskiego	g u r s k j e g o
górskiej	g u r s k j e j
górskim	g u r s k i m
górskimi	g u r s k i m i
górską	g u r s k o m
górską	g u r s k on
góry	g u r I
górze	g u Z e
górzyste	g u Z I s t e
górą	g u r o m
górą	g u r on
górę	g u r e
górę	g u r en
gówniarze	g u v ni a Z e
gównie	g u v ni e
gąbczaste	g o m b tS a s t e
gąbczaste	g o m p tS a s t e
gąbczaste	g on b tS a s t e
gąbczaste	g on p tS a s t e
gąbką	g o m b k o m
gąbką	g o m b k on
gąbką	g o m p k o m
gąbką	g on b k o m
gąbką	g on b k on
gąbką	g on p k o m
gąbką	g on p k on
gąbkę	g o m b k e
gąbkę	g o m b k en
gąbkę	g o m p k e
gąbkę	g on b k e
gąbkę	g on b k en
gąbkę	g on p k e
gąbkę	g on p k en
gąsior	g o ni si o r
gąsior	g on si o r
gąsiorem	g o ni si o r e m
gąsiorem	g on si o r e m
gąskę	g o n s k e
gąskę	g o n s k en
gąskę	g on s k e
gąskę	g on s k en
gąszczu	g o n S tS u
gąszczu	g on S tS u
gęba	g e m b a
gęba	g en b a
gębie	g e m b j e
gębie	g en b j e
gębą	g e m b o m
gębą	g e m b on
gębą	g en b o m
gębą	g en b on
gęsi	g e ni si i
gęsi	g en si i
gęsicka	g e ni si i ts k a
gęsicka	g en si i ts k a
gęsickiej	g e ni si i ts k j e j
gęsickiej	g en si i ts k j e j
gęsie	g e ni si e
gęsie	g en si e
gęsiorach	g e ni si o r a x
gęsiorach	g en si o r a x
gęsta	g e n s t a
gęsta	g en s t a
gęste	g e n s t e
gęste	g en s t e
gęstego	g e n s t e g o
gęstego	g en s t e g o
gęstej	g e n s t e j
gęstej	g en s t e j
gęstniał	g e n s t ni a w
gęstniał	g en s t ni a w
gęstnieć	g e n s t ni e tsi
gęstnieć	g en s t ni e tsi
gęsto	g e n s t o
gęsto	g en s t o
gęstością	g e n s t o si tsi o m
gęstością	g e n s t o si tsi on
gęstością	g en s t o si tsi o m
gęstością	g en s t o si tsi on
gęstość	g e n s t o si tsi
gęstość	g en s t o si tsi
gęstwie	g e n s t f j e
gęstwie	g en s t f j e
gęstwina	g e n s t f i n a
gęstwina	g en s t f i n a
gęstwinie	g e n s t f i ni e
gęstwinie	g e n s t f i ni j e
gęstwinie	g en s t f i ni e
gęstwinie	g en s t f i ni j e
gęstwiny	g e n s t f i n I
gęstwiny	g en s t f i n I
gęstwy	g e n s t f I
gęstwy	g en s t f I
gęstwą	g e n s t f o m
gęstwą	g e n s t f on
gęstwą	g en s t f o m
gęstwą	g en s t f on
gęstwę	g e n s t f e
gęstwę	g e n s t f en
gęstwę	g en s t f e
gęstwę	g en s t f en
gęsty	g e n s t I
gęsty	g en s t I
gęstych	g e n s t I x
gęstych	g en s t I x
gęstym	g e n s t I m
gęstym	g en s t I m
gładka	g w a d k a
gładka	g w a t k a
gładkich	g w a d k i x
gładkich	g w a t k i x
gładkie	g w a d k j e
gładkie	g w a t k j e
gładkiej	g w a d k j e j
gładkiej	g w a t k j e j
gładkim	g w a d k i m
gładkim	g w a t k i m
gładko	g w a d k o
gładko	g w a t k o
gładką	g w a d k o m
gładką	g w a d k on
gładką	g w a t k o m
gładką	g w a t k on
gładzi	g w a dzi i
gładził	g w a dzi i w
gładzony	g w a dz o n I
głaskał	g w a s k a w
głaz	g w a s
głaz	g w a z
głazami	g w a z a m i
głazie	g w a zi e
głazy	g w a z I
głazów	g w a z u f
głazów	g w a z u v
głodem	g w o d e m
głodne	g w o d n e
głodni	g w o d ni i
głodny	g w o d n I
głodnych	g w o d n I x
głodnym	g w o d n I m
głodować	g w o d o v a tsi
głodował	g w o d o v a w
głodowała	g w o d o v a w a
głodowy	g w o d o v I
głodową	g w o d o v o m
głodową	g w o d o v on
głodu	g w o d u
głodują	g w o d u j o m
głodują	g w o d u j on
głodujący	g w o d u j o n ts I
głodujący	g w o d u j on ts I
głodujących	g w o d u j o n ts I x
głodujących	g w o d u j on ts I x
głodówce	g w o d u f ts e
głodówce	g w o d u v ts e
głodówkę	g w o d u f k e
głodówkę	g w o d u f k en
głodówkę	g w o d u v k e
głodówkę	g w o d u v k en
głogowczykach	g w o g o f tS I k a x
głogowczykach	g w o g o v tS I k a x
głogowskiego	g w o g o f s k j e g o
głogowskiego	g w o g o v s k j e g o
głos	g w o s
głosami	g w o s a m i
głosem	g w o s e m
głosi	g w o si i
głosie	g w o si e
głosik	g w o si i k
głosili	g w o si i l i
głosić	g w o si i tsi
głosił	g w o si i w
głosiła	g w o si i w a
głosow	g w o s o f
głosow	g w o s o v
głosowali	g w o s o v a l i
głosowania	g w o s o v a ni a
głosowania	g w o s o v a ni j a
głosowanie	g w o s o v a ni e
głosowanie	g w o s o v a ni j e
głosowaniem	g w o s o v a ni e m
głosowaniem	g w o s o v a ni j e m
głosować	g w o s o v a tsi
głosował	g w o s o v a w
głosowałem	g w o s o v a w e m
głosowało	g w o s o v a w o
głosowały	g w o s o v a w I
głosową	g w o s o v o m
głosową	g w o s o v on
głosu	g w o s u
głosuje	g w o s u j e
głosując	g w o s u j o n ts
głosując	g w o s u j on ts
głosy	g w o s I
głoszeniu	g w o S e ni u
głoszona	g w o S o n a
głoszone	g w o S o n e
głosząc	g w o S o n ts
głosząc	g w o S on ts
głoszących	g w o S o n ts I x
głoszących	g w o S on ts I x
głosów	g w o s u f
głosów	g w o s u v
głowa	g w o v a
głowach	g w o v a x
głowami	g w o v a m i
głowie	g w o v j e
głownie	g w o v ni e
głowowa	g w o v o v a
głowy	g w o v I
głową	g w o v o m
głową	g w o v on
głowę	g w o v e
głowę	g w o v en
głośna	g w o si n a
głośne	g w o si n e
głośnego	g w o si n e g o
głośnej	g w o si n e j
głośnik	g w o si ni i k
głośnika	g w o si ni i k a
głośniki	g w o si ni i k i
głośników	g w o si ni i k u f
głośników	g w o si ni i k u v
głośno	g w o si n o
głośności	g w o si n o si tsi i
głośny	g w o si n I
głośnych	g w o si n I x
głośnym	g w o si n I m
głuche	g w u x e
głucho	g w u x o
głuchowie	g w u x o v j e
głuchy	g w u x I
głuchymi	g w u x I m i
głupawek	g w u p a v e k
głupca	g w u p ts a
głupcami	g w u p ts a m i
głupcem	g w u p ts e m
głupców	g w u p ts u f
głupców	g w u p ts u v
głupi	g w u p i
głupia	g w u p j a
głupich	g w u p i x
głupie	g w u p j e
głupiego	g w u p j e g o
głupieją	g w u p j e j o m
głupieją	g w u p j e j on
głupim	g w u p i m
głupio	g w u p j o
głupkowato	g w u p k o v a t o
głupocie	g w u p o tsi e
głupota	g w u p o t a
głupotach	g w u p o t a x
głupoty	g w u p o t I
głupotą	g w u p o t o m
głupotą	g w u p o t on
głupstw	g w u p s t f
głusi	g w u si i
głód	g w u d
głód	g w u t
głów	g w u f
głów	g w u v
główka	g w u f k a
główka	g w u v k a
główkę	g w u f k e
główkę	g w u f k en
główkę	g w u v k e
główkę	g w u v k en
główna	g w u v n a
główne	g w u v n e
głównego	g w u v n e g o
głównej	g w u v n e j
głównie	g w u v ni e
główny	g w u v n I
głównych	g w u v n I x
głównym	g w u v n I m
głównymi	g w u v n I m i
główną	g w u v n o m
główną	g w u v n on
głąb	g w o m b
głąb	g w o m p
głąb	g w on b
głębi	g w e m b i
głębi	g w en b i
głębiej	g w e m b j e j
głębiej	g w en b j e j
głębili	g w e m b i l i
głębili	g w en b i l i
głębin	g w e m b i n
głębin	g w en b i n
głębinach	g w e m b i n a x
głębinach	g w en b i n a x
głębinie	g w e m b i ni e
głębinie	g w e m b i ni j e
głębinie	g w en b i ni e
głębinie	g w en b i ni j e
głębiom	g w e m b j o m
głębiom	g w en b j o m
głębią	g w e m b j o m
głębią	g w e m b j on
głębią	g w en b j o m
głębią	g w en b j on
głębię	g w e m b j e
głębię	g w e m b j en
głębię	g w en b j e
głębię	g w en b j en
głębockiej	g w e m b o ts k j e j
głębockiej	g w en b o ts k j e j
głęboka	g w e m b o k a
głęboka	g w en b o k a
głęboki	g w e m b o k i
głęboki	g w en b o k i
głębokich	g w e m b o k i x
głębokich	g w en b o k i x
głębokie	g w e m b o k j e
głębokie	g w en b o k j e
głębokiego	g w e m b o k j e g o
głębokiego	g w en b o k j e g o
głębokiej	g w e m b o k j e j
głębokiej	g w en b o k j e j
głębokim	g w e m b o k i m
głębokim	g w en b o k i m
głęboko	g w e m b o k o
głęboko	g w en b o k o
głębokości	g w e m b o k o si tsi i
głębokości	g w en b o k o si tsi i
głębokość	g w e m b o k o si tsi
głębokość	g w en b o k o si tsi
głęboką	g w e m b o k o m
głęboką	g w e m b o k on
głęboką	g w en b o k o m
głęboką	g w en b o k on
głębsza	g w e m b S a
głębsza	g w e m p S a
głębsza	g w en b S a
głębsza	g w en p S a
głębsze	g w e m b S e
głębsze	g w e m p S e
głębsze	g w en b S e
głębsze	g w en p S e
głębszego	g w e m b S e g o
głębszego	g w e m p S e g o
głębszego	g w en b S e g o
głębszego	g w en p S e g o
głębszej	g w e m b S e j
głębszej	g w e m p S e j
głębszej	g w en b S e j
głębszej	g w en p S e j
głębszych	g w e m b S I x
głębszych	g w e m p S I x
głębszych	g w en b S I x
głębszych	g w en p S I x
głębszym	g w e m b S I m
głębszym	g w e m p S I m
głębszym	g w en b S I m
głębszym	g w en p S I m
ha	x a
habicie	x a b i tsi e
habilitacji	x a b i l i t a ts i
habilitacji	x a b i l i t a ts j i
habilitowany	x a b i l i t o v a n I
habilitowanych	x a b i l i t o v a n I x
habsburskich	x a b s b u r s k i x
habsburskich	x a b z b u r s k i x
habsburskich	x a p s b u r s k i x
habsburskich	x a p z b u r s k i x
haczyk	x a tS I k
hadsońską	x a d s o ni s k o m
hadsońską	x a d s o ni s k on
hadsońską	x a t s o ni s k o m
hadsońską	x a ts o ni s k o m
hadsońską	x a ts o ni s k on
hadze	x a dz e
haftowany	x a f t o v a n I
haftu	x a f t u
hajdasz	x a j d a S
hajnówką	x a j n u f k o m
hajnówką	x a j n u f k on
hajnówką	x a j n u v k o m
hajnówką	x a j n u v k on
hakera	x a k e r a
hakerskie	x a k e r s k j e
hakerstwo	x a k e r s t f o
haki	x a k i
hakiem	x a k j e m
hakizaczepy	x a k i z a tS e p I
haku	x a k u
hal	x a l
hala	x a l a
halfa	x a l f a
hali	x a l i
halickiego	x a l i ts k j e g o
halickiej	x a l i ts k j e j
halikarnas	x a l i k a r n a s
halikarnasie	x a l i k a r n a si e
halikarnasu	x a l i k a r n a s u
halina	x a l i n a
halinowa	x a l i n o v a
halinów	x a l i n u f
halinów	x a l i n u v
halkę	x a l k e
halkę	x a l k en
hall	x a l
hall	x a l l
hall	x o l
hallam	x a l a m
hallam	x a l l a m
haller	x a l e r
haller	x a l l e r
hallera	x a l e r a
hallera	x a l l e r a
hallu	x a l l u
hallu	x a l u
hallu	x o l u
halluksy	x a l l u k s I
halluksy	x a l u k s I
halny	x a l n I
halo	x a l o
halucynacjami	x a l u ts I n a ts j a m i
halucynacje	x a l u ts I n a ts j e
halucynacją	x a l u ts I n a ts j o m
halucynacją	x a l u ts I n a ts j on
halę	x a l e
halę	x a l en
hama	x a m a
hamal	x a m a l
hamburga	x a m b u r g a
hamburgu	x a m b u r g u
hamletów	x a m l e t u f
hamletów	x a m l e t u v
hamowane	x a m o v a n e
hamowani	x a m o v a ni i
hamowania	x a m o v a ni a
hamowania	x a m o v a ni j a
hamowany	x a m o v a n I
hamować	x a m o v a tsi
hamował	x a m o v a w
hamuje	x a m u j e
hamujemy	x a m u j e m I
hamują	x a m u j o m
hamują	x a m u j on
hamulca	x a m u l ts a
hamulcem	x a m u l ts e m
hamulcowy	x a m u l ts o v I
hamulcowych	x a m u l ts o v I x
hamulców	x a m u l ts u f
hamulców	x a m u l ts u v
hamulec	x a m u l e ts
hanak	x a n a k
handel	x a n d e l
handlarek	x a n d l a r e k
handlarka	x a n d l a r k a
handlarki	x a n d l a r k i
handlarz	x a n d l a S
handlarz	x a n d l a Z
handlarza	x a n d l a Z a
handlarze	x a n d l a Z e
handlarzy	x a n d l a Z I
handlem	x a n d l e m
handlobankiem	x a n d l o b a n k j e m
handlobanku	x a n d l o b a n k u
handlowa	x a n d l o v a
handlować	x a n d l o v a tsi
handlowała	x a n d l o v a w a
handlowały	x a n d l o v a w I
handlowe	x a n d l o v e
handlowego	x a n d l o v e g o
handlowej	x a n d l o v e j
handlowiec	x a n d l o v j e ts
handlowousługowego	x a n d l o v o u s w u g o v e g o
handlowy	x a n d l o v I
handlowych	x a n d l o v I x
handlowym	x a n d l o v I m
handlowymi	x a n d l o v I m i
handlu	x a n d l u
handlują	x a n d l u j o m
handlują	x a n d l u j on
handlujący	x a n d l u j o n ts I
handlujący	x a n d l u j on ts I
haniebna	x a ni e b n a
haniebna	x a ni j e b n a
haniebnie	x a ni e b ni e
haniebnie	x a ni j e b ni e
haniebnych	x a ni e b n I x
haniebnych	x a ni j e b n I x
haniebną	x a ni e b n o m
haniebną	x a ni e b n on
haniebną	x a ni j e b n o m
haniebną	x a ni j e b n on
hanna	x a n n a
hanny	x a n n I
hansona	x a n s o n a
hanysów	x a n I s u f
hanysów	x a n I s u v
haracz	x a r a tS
haraczy	x a r a tS I
haraczów	x a r a tS u f
haraczów	x a r a tS u v
harasimowicz	x a r a si i m o v i tS
harce	x a r ts e
harcerską	x a r ts e r s k o m
harcerską	x a r ts e r s k on
harcerzem	x a r ts e Z e m
harcerzy	x a r ts e Z I
harcownika	x a r ts o v ni i k a
harem	x a r e m
harlej	x a r l e j
harmider	x a r m i d e r
harmonia	x a r m o ni a
harmonia	x a r m o ni j a
harmonii	x a r m o ni i
harmonii	x a r m o ni j i
harmonijna	x a r m o ni i j n a
harmonijnie	x a r m o ni i j ni e
harmonijnych	x a r m o ni i j n I x
harmonijną	x a r m o ni i j n o m
harmonijną	x a r m o ni i j n on
harmoniką	x a r m o ni i k o m
harmoniką	x a r m o ni i k on
harmonizującą	x a r m o ni i z u j o n ts o m
harmonizującą	x a r m o ni i z u j o n ts on
harmonizującą	x a r m o ni i z u j on ts o m
harmonizującą	x a r m o ni i z u j on ts on
harmonogramem	x a r m o n o g r a m e m
harmonogramu	x a r m o n o g r a m u
harrachovie	x a r a x o v j e
harrachovie	x a r r a x o v j e
hartem	x a r t e m
harvard	x a r v a r d
harvarda	x a r v a r d a
harvardzie	x a r v a r dzi e
haseł	x a s e w
haskim	x a s k i m
hassanie	x a s a ni e
hassanie	x a s a ni j e
hassanie	x a s s a ni e
hassanie	x a s s a ni j e
haszek	x a S e k
haszyszu	x a S I S u
hasła	x a s w a
hasłami	x a s w a m i
hasłem	x a s w e m
hasło	x a s w o
hasłowo	x a s w o v o
hasłu	x a s w u
hateemel	x a t e e m e l
hawany	x a v a n I
hawke	x a f k e
hawke	x a v k e
hazardu	x a z a r d u
hałas	x a w a s
hałasie	x a w a si e
hałasu	x a w a s u
hałasy	x a w a s I
hałaśliwa	x a w a si l i v a
hałaśliwe	x a w a si l i v e
hałaśliwego	x a w a si l i v e g o
hałaśliwej	x a w a si l i v e j
hałaśliwy	x a w a si l i v I
hałaśliwych	x a w a si l i v I x
hałaśliwym	x a w a si l i v I m
hańba	x a ni b a
hańbiący	x a ni b j o n ts I
hańbiący	x a ni b j on ts I
hańbą	x a ni b o m
hańbą	x a ni b on
he	x e
hebanie	x e b a ni e
hebanie	x e b a ni j e
hebanu	x e b a n u
heblowanymi	x e b l o v a n I m i
hebrajskie	x e b r a j s k j e
hebronem	x e b r o n e m
hecę	x e ts e
hecę	x e ts en
hegemonii	x e g e m o ni i
hegemonii	x e g e m o ni j i
hegemonię	x e g e m o ni e
hegemonię	x e g e m o ni en
hegemonię	x e g e m o ni j e
hegemonię	x e g e m o ni j en
heidelberger	x a j d e l b e r g e r
heidelberger	x e j i d e l b e r g e r
heksagonalnych	x e k s a g o n a l n I x
hektarów	x e k t a r u f
hektarów	x e k t a r u v
hektor	x e k t o r
hel	x e l
helem	x e l e m
heleny	x e l e n I
heleną	x e l e n o m
heleną	x e l e n on
helikopter	x e l i k o p t e r
helikoptera	x e l i k o p t e r a
helikopterem	x e l i k o p t e r e m
helikopterów	x e l i k o p t e r u f
helikopterów	x e l i k o p t e r u v
heloiza	x e l o i z a
heloiza	x e l o j i z a
helsinek	x e l si i n e k
helsińskiej	x e l si i ni s k j e j
hemoglobiną	x e m o g l o b i n o m
hemoglobiną	x e m o g l o b i n on
hen	x e n
henryk	x e n r I k
henryka	x e n r I k a
henrykiem	x e n r I k j e m
heppeningiem	x e p e ni i n g j e m
heppeningiem	x e p p e ni i n g j e m
heppeningu	x e p e ni i n g u
heppeningu	x e p p e ni i n g u
herakles	x e r a k l e s
heraklidów	x e r a k l i d u f
heraklidów	x e r a k l i d u v
heraklit	x e r a k l i t
herb	x e r b
herb	x e r p
herbacie	x e r b a tsi e
herbami	x e r b a m i
herbat	x e r b a t
herbata	x e r b a t a
herbatka	x e r b a t k a
herbatkę	x e r b a t k e
herbatkę	x e r b a t k en
herbatnikami	x e r b a t ni i k a m i
herbatniki	x e r b a t ni i k i
herbaty	x e r b a t I
herbatę	x e r b a t e
herbatę	x e r b a t en
herbe	x e r b e
herbert	x e r b e r t
herberta	x e r b e r t a
herbie	x e r b j e
herbu	x e r b u
herby	x e r b I
hercel	x e r ts e l
herezji	x e r e z i
herezji	x e r e z j i
herlinga	x e r l i n g a
hermetyczny	x e r m e t I tS n I
herodocie	x e r o d o tsi e
herodot	x e r o d o t
herodota	x e r o d o t a
herodotem	x e r o d o t e m
heroicznego	x e r o i tS n e g o
heroicznego	x e r o j i tS n e g o
heroicznych	x e r o i tS n I x
heroicznych	x e r o j i tS n I x
heroizm	x e r o i z m
heroizm	x e r o j i z m
herosem	x e r o s e m
herosi	x e r o si i
hertel	x e r t e l
hertz	x e r ts
hessem	x e s e m
hessem	x e s s e m
heteroseksualny	x e t e r o s e k s u a l n I
heteroseksualny	x e t e r o s e k s u w a l n I
heurystyczny	x e u r I s t I tS n I
heurystyczny	x e w r I s t I tS n I
heurystycznych	x e u r I s t I tS n I x
heurystycznych	x e w r I s t I tS n I x
hex	x e k s
hełm	x e w m
hełmu	x e w m u
hełmy	x e w m I
hiacynt	x j a ts I n t
hibernacji	x i b e r n a ts i
hibernacji	x i b e r n a ts j i
hidżra	x i dZ r a
hieny	x j e n I
hierarcha	x j e r a r x a
hierarchia	x j e r a r x j a
hierarchii	x j e r a r x i
hierarchii	x j e r a r x j i
hierarchom	x j e r a r x o m
hieronim	x j e r o ni i m
